1,2,3,4,5,6,7,8,9,10
Star Wars (1977),Raiders of the Lost Ark (1981),Titanic (1997),Return of the Jedi (1983),L.A. Confidential (1997),"Full Monty, The (1997)",Monty Python's Life of Brian (1979),"Godfather, The (1972)","Empire Strikes Back, The (1980)","Sting, The (1973)"
Pulp Fiction (1994),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),Citizen Kane (1941),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),Braveheart (1995),Toy Story (1995),"Fugitive, The (1993)",Vertigo (1958)
Monty Python and the Holy Grail (1974),Schindler's List (1993),"Silence of the Lambs, The (1991)",Apocalypse Now (1979),"Princess Bride, The (1987)",Casablanca (1942),Return of the Jedi (1983),Fargo (1996),North by Northwest (1959),"Shawshank Redemption, The (1994)"
Star Wars (1977),Raiders of the Lost Ark (1981),Sense and Sensibility (1995),Kundun (1997),"Boot, Das (1981)",In the Line of Fire (1993),Return of the Jedi (1983),Chasing Amy (1997),Lost Highway (1997),Dead Man Walking (1995)
"Godfather, The (1972)",Titanic (1997),Fargo (1996),"Boot, Das (1981)","Close Shave, A (1995)","Rock, The (1996)",Toy Story (1995),Sabrina (1995),Liar Liar (1997),Willy Wonka and the Chocolate Factory (1971)
Star Wars (1977),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Titanic (1997),"Shawshank Redemption, The (1994)","Princess Bride, The (1987)",Psycho (1960),Braveheart (1995),Casablanca (1942),"Right Stuff, The (1983)"
Star Wars (1977),"Godfather, The (1972)",Titanic (1997),"Close Shave, A (1995)",Return of the Jedi (1983),L.A. Confidential (1997),Secrets & Lies (1996),Apt Pupil (1998),"Postino, Il (1994)","Young Poisoner's Handbook, The (1995)"
Schindler's List (1993),Casablanca (1942),Amadeus (1984),Lone Star (1996),"Shawshank Redemption, The (1994)","Postino, Il (1994)",Blade Runner (1982),Lawrence of Arabia (1962),L.A. Confidential (1997),Sense and Sensibility (1995)
Star Wars (1977),L.A. Confidential (1997),"Boot, Das (1981)","Fugitive, The (1993)","Full Monty, The (1997)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Sense and Sensibility (1995),Good Will Hunting (1997),Apt Pupil (1998),Rosewood (1997)
"Fugitive, The (1993)",Casablanca (1942),Monty Python and the Holy Grail (1974),Toy Story (1995),"Rock, The (1996)","Empire Strikes Back, The (1980)","Godfather, The (1972)","Silence of the Lambs, The (1991)",Titanic (1997),Alien (1979)
Contact (1997),Alien (1979),Titanic (1997),Fargo (1996),"Empire Strikes Back, The (1980)",Leaving Las Vegas (1995),L.A. Confidential (1997),"Princess Bride, The (1987)",Raging Bull (1980),Aliens (1986)
"Empire Strikes Back, The (1980)",Aliens (1986),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Twelve Monkeys (1995),Braveheart (1995),"Silence of the Lambs, The (1991)",Monty Python and the Holy Grail (1974),Terminator 2: Judgment Day (1991),Pulp Fiction (1994)
Star Wars (1977),Contact (1997),Monty Python and the Holy Grail (1974),Secrets & Lies (1996),"Godfather, The (1972)",Casablanca (1942),Lawrence of Arabia (1962),One Flew Over the Cuckoo's Nest (1975),Raising Arizona (1987),Amadeus (1984)
Schindler's List (1993),Contact (1997),Fargo (1996),Raiders of the Lost Ark (1981),Alien (1979),"Rock, The (1996)",Star Wars (1977),L.A. Confidential (1997),Men in Black (1997),As Good As It Gets (1997)
Monty Python and the Holy Grail (1974),One Flew Over the Cuckoo's Nest (1975),"Wrong Trousers, The (1993)",Brazil (1985),Schindler's List (1993),Star Wars (1977),Contact (1997),2001: A Space Odyssey (1968),Casablanca (1942),Terminator 2: Judgment Day (1991)
Contact (1997),Good Will Hunting (1997),Fargo (1996),"Full Monty, The (1997)","English Patient, The (1996)",Apt Pupil (1998),Men in Black (1997),"Godfather, The (1972)",Twelve Monkeys (1995),"Close Shave, A (1995)"
Fargo (1996),Titanic (1997),"Godfather, The (1972)","Usual Suspects, The (1995)",Ransom (1996),"Silence of the Lambs, The (1991)",Good Will Hunting (1997),Jerry Maguire (1996),Pulp Fiction (1994),"Close Shave, A (1995)"
"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),Star Wars (1977),Braveheart (1995),Die Hard (1988),"Fugitive, The (1993)",Alien (1979),Toy Story (1995),Back to the Future (1985),"Shawshank Redemption, The (1994)"
Titanic (1997),Good Will Hunting (1997),L.A. Confidential (1997),"Full Monty, The (1997)",Fargo (1996),Raise the Red Lantern (1991),Three Colors: Blue (1993),Contact (1997),Star Wars (1977),Apt Pupil (1998)
L.A. Confidential (1997),Good Will Hunting (1997),"English Patient, The (1996)",Air Force One (1997),Star Trek: The Wrath of Khan (1982),Schindler's List (1993),"Big Lebowski, The (1998)",Boogie Nights (1997),Indiana Jones and the Last Crusade (1989),Terminator 2: Judgment Day (1991)
Titanic (1997),L.A. Confidential (1997),Apt Pupil (1998),Good Will Hunting (1997),Gattaca (1997),"Full Monty, The (1997)",In & Out (1997),"Godfather, The (1972)",Lost Highway (1997),Liar Liar (1997)
Fargo (1996),Toy Story (1995),"Full Monty, The (1997)",Amistad (1997),Good Will Hunting (1997),L.A. Confidential (1997),Donnie Brasco (1997),"Postino, Il (1994)",Chasing Amy (1997),"Godfather, The (1972)"
Titanic (1997),Star Wars (1977),"Game, The (1997)",Contact (1997),L.A. Confidential (1997),Seven Years in Tibet (1997),Good Will Hunting (1997),As Good As It Gets (1997),"Full Monty, The (1997)","Silence of the Lambs, The (1991)"
L.A. Confidential (1997),Air Force One (1997),Fargo (1996),Good Will Hunting (1997),Titanic (1997),Apt Pupil (1998),Star Wars (1977),Kolya (1996),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)"
Titanic (1997),"Full Monty, The (1997)",Rosewood (1997),Murder at 1600 (1997),Star Wars (1977),Return of the Jedi (1983),L.A. Confidential (1997),"Wedding Singer, The (1998)",Soul Food (1997),Liar Liar (1997)
Air Force One (1997),Contact (1997),L.A. Confidential (1997),Titanic (1997),"Devil's Advocate, The (1997)",Good Will Hunting (1997),Seven Years in Tibet (1997),Apt Pupil (1998),Conspiracy Theory (1997),Star Wars (1977)
Fargo (1996),"Silence of the Lambs, The (1991)",Braveheart (1995),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Dead Man Walking (1995),Pulp Fiction (1994),Return of the Jedi (1983),"Usual Suspects, The (1995)",Alien (1979)
Star Wars (1977),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",It's a Wonderful Life (1946),Casablanca (1942),Braveheart (1995),"Shawshank Redemption, The (1994)",Fargo (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Apt Pupil (1998),Chasing Amy (1997),Starship Troopers (1997),Air Force One (1997),As Good As It Gets (1997),Star Wars (1977),Ulee's Gold (1997),Amistad (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Contact (1997)
Titanic (1997),Apt Pupil (1998),Chasing Amy (1997),Trainspotting (1996),Braveheart (1995),Fargo (1996),Picture Perfect (1997),Four Days in September (1997),"Godfather, The (1972)",Contact (1997)
Rear Window (1954),"Usual Suspects, The (1995)",Return of the Jedi (1983),"Boot, Das (1981)",Blade Runner (1982),"Godfather, The (1972)","Shawshank Redemption, The (1994)",Casablanca (1942),To Kill a Mockingbird (1962),It's a Wonderful Life (1946)
Blade Runner (1982),Braveheart (1995),"Hunt for Red October, The (1990)",Indiana Jones and the Last Crusade (1989),"Silence of the Lambs, The (1991)","Godfather, The (1972)","Empire Strikes Back, The (1980)",Casablanca (1942),Die Hard (1988),Apollo 13 (1995)
Star Wars (1977),Return of the Jedi (1983),Schindler's List (1993),"Silence of the Lambs, The (1991)",Amadeus (1984),Willy Wonka and the Chocolate Factory (1971),Toy Story (1995),Jerry Maguire (1996),"Terminator, The (1984)",Indiana Jones and the Last Crusade (1989)
Raiders of the Lost Ark (1981),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)","Terminator, The (1984)",Amadeus (1984),Monty Python and the Holy Grail (1974),Casablanca (1942),"Usual Suspects, The (1995)",Pulp Fiction (1994),"Close Shave, A (1995)"
"Godfather, The (1972)",Contact (1997),Toy Story (1995),Fargo (1996),Secrets & Lies (1996),Happy Gilmore (1996),French Kiss (1995),"Rock, The (1996)",Austin Powers: International Man of Mystery (1997),"Fugitive, The (1993)"
Titanic (1997),L.A. Confidential (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Ulee's Gold (1997),Fly Away Home (1996),Dead Man Walking (1995),Chasing Amy (1997),Sense and Sensibility (1995),Apt Pupil (1998),Cop Land (1997)
L.A. Confidential (1997),Titanic (1997),Chasing Amy (1997),"Wings of the Dove, The (1997)",Star Wars (1977),Boogie Nights (1997),Apt Pupil (1998),"Godfather: Part II, The (1974)",Return of the Jedi (1983),"Big Lebowski, The (1998)"
Air Force One (1997),Apt Pupil (1998),Titanic (1997),Fargo (1996),Raiders of the Lost Ark (1981),Schindler's List (1993),Star Wars (1977),Good Will Hunting (1997),"Godfather, The (1972)",Citizen Kane (1941)
"Princess Bride, The (1987)",Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Pulp Fiction (1994),Schindler's List (1993),"Clockwork Orange, A (1971)",Willy Wonka and the Chocolate Factory (1971),Monty Python and the Holy Grail (1974),Alien (1979),Brazil (1985)
Antonia's Line (1995),Star Wars (1977),L.A. Confidential (1997),Secrets & Lies (1996),"Godfather, The (1972)",Twelve Monkeys (1995),Angels and Insects (1995),"Boot, Das (1981)","Postino, Il (1994)",When We Were Kings (1996)
Casablanca (1942),Men in Black (1997),Terminator 2: Judgment Day (1991),"Hunt for Red October, The (1990)",Contact (1997),"Fugitive, The (1993)",Fantasia (1940),Blade Runner (1982),Clerks (1994),Monty Python and the Holy Grail (1974)
Titanic (1997),Star Wars (1977),"Full Monty, The (1997)","Godfather, The (1972)","Sound of Music, The (1965)",Leaving Las Vegas (1995),"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Trainspotting (1996),Swingers (1996)
"Silence of the Lambs, The (1991)",Schindler's List (1993),Fargo (1996),"Godfather, The (1972)",Return of the Jedi (1983),Sling Blade (1996),Raiders of the Lost Ark (1981),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),"Wizard of Oz, The (1939)"
Star Wars (1977),Titanic (1997),Mr. Holland's Opus (1995),Men in Black (1997),"Rainmaker, The (1997)",Contact (1997),Independence Day (ID4) (1996),"Full Monty, The (1997)",Jerry Maguire (1996),"Godfather, The (1972)"
Willy Wonka and the Chocolate Factory (1971),Terminator 2: Judgment Day (1991),Mr. Holland's Opus (1995),"Godfather, The (1972)",Pulp Fiction (1994),"Terminator, The (1984)",Contact (1997),Schindler's List (1993),"Princess Bride, The (1987)",Back to the Future (1985)
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Return of the Jedi (1983),Pulp Fiction (1994),Schindler's List (1993),"Fugitive, The (1993)","Blues Brothers, The (1980)",Terminator 2: Judgment Day (1991),Monty Python and the Holy Grail (1974)
"Godfather, The (1972)",Fargo (1996),"Boot, Das (1981)",Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Air Force One (1997),E.T. the Extra-Terrestrial (1982),Twister (1996),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)"
Casablanca (1942),Fargo (1996),Star Wars (1977),"Shawshank Redemption, The (1994)","Princess Bride, The (1987)","Postino, Il (1994)",Schindler's List (1993),Sense and Sensibility (1995),Blade Runner (1982),"Close Shave, A (1995)"
Star Wars (1977),"Godfather, The (1972)",Schindler's List (1993),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)","Silence of the Lambs, The (1991)",Alien (1979),"Usual Suspects, The (1995)",Fargo (1996),Chasing Amy (1997)
Fargo (1996),"Empire Strikes Back, The (1980)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),Lawrence of Arabia (1962),"Silence of the Lambs, The (1991)",Apollo 13 (1995),Alien (1979),"Shining, The (1980)",Contact (1997)
Titanic (1997),L.A. Confidential (1997),Good Will Hunting (1997),Star Wars (1977),Anastasia (1997),Sense and Sensibility (1995),Wag the Dog (1997),Rosewood (1997),"Peacemaker, The (1997)","Boot, Das (1981)"
Fargo (1996),"Usual Suspects, The (1995)",Blade Runner (1982),Schindler's List (1993),"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),Return of the Jedi (1983),Sling Blade (1996),2001: A Space Odyssey (1968),Psycho (1960)
Lone Star (1996),Fargo (1996),"Godfather, The (1972)",Dead Man Walking (1995),Sense and Sensibility (1995),Star Wars (1977),Jerry Maguire (1996),Antonia's Line (1995),"Boot, Das (1981)",Kolya (1996)
Fargo (1996),Pulp Fiction (1994),Apocalypse Now (1979),One Flew Over the Cuckoo's Nest (1975),L.A. Confidential (1997),Casablanca (1942),Toy Story (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Usual Suspects, The (1995)",Twelve Monkeys (1995)
"Fugitive, The (1993)",Blade Runner (1982),Schindler's List (1993),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Return of the Jedi (1983),Amadeus (1984),Star Trek: The Wrath of Khan (1982),"Empire Strikes Back, The (1980)",2001: A Space Odyssey (1968)
Titanic (1997),Fargo (1996),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Bound (1996),L.A. Confidential (1997),Trainspotting (1996),Casablanca (1942),Kolya (1996),Andre (1994),Raiders of the Lost Ark (1981)
Star Wars (1977),Independence Day (ID4) (1996),Fargo (1996),Toy Story (1995),Jerry Maguire (1996),Return of the Jedi (1983),Star Trek: First Contact (1996),Ransom (1996),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)"
Star Wars (1977),"Postino, Il (1994)",Fargo (1996),Willy Wonka and the Chocolate Factory (1971),Secrets & Lies (1996),Titanic (1997),Emma (1996),"Boot, Das (1981)",Stealing Beauty (1996),Good Will Hunting (1997)
"Godfather, The (1972)",Sense and Sensibility (1995),Mr. Holland's Opus (1995),Toy Story (1995),Fargo (1996),Air Force One (1997),Sling Blade (1996),"Princess Bride, The (1987)",Casablanca (1942),Contact (1997)
Star Wars (1977),Star Trek: The Wrath of Khan (1982),"Silence of the Lambs, The (1991)","Terminator, The (1984)",Blade Runner (1982),North by Northwest (1959),Terminator 2: Judgment Day (1991),Braveheart (1995),"Blues Brothers, The (1980)",Die Hard (1988)
Casablanca (1942),Braveheart (1995),Schindler's List (1993),Terminator 2: Judgment Day (1991),"Terminator, The (1984)","Usual Suspects, The (1995)","Godfather: Part II, The (1974)",Blade Runner (1982),"Godfather, The (1972)",Reservoir Dogs (1992)
Fargo (1996),"Clockwork Orange, A (1971)",When Harry Met Sally... (1989),"Godfather, The (1972)","Princess Bride, The (1987)",Titanic (1997),Psycho (1960),Gandhi (1982),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975)
"Godfather, The (1972)",Taxi Driver (1976),Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Star Wars (1977),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Monty Python and the Holy Grail (1974),To Kill a Mockingbird (1962),Air Force One (1997),"Postino, Il (1994)"
Good Will Hunting (1997),"Game, The (1997)","English Patient, The (1996)",Rosewood (1997),Kiss the Girls (1997),Amistad (1997),"Rainmaker, The (1997)",Scream (1996),"Usual Suspects, The (1995)",As Good As It Gets (1997)
Star Wars (1977),Raiders of the Lost Ark (1981),Air Force One (1997),"Godfather, The (1972)",Terminator 2: Judgment Day (1991),"Boot, Das (1981)",Independence Day (ID4) (1996),One Flew Over the Cuckoo's Nest (1975),"Big Lebowski, The (1998)",L.A. Confidential (1997)
Star Wars (1977),Raiders of the Lost Ark (1981),Amadeus (1984),"Terminator, The (1984)","Usual Suspects, The (1995)",Seven (Se7en) (1995),Toy Story (1995),Back to the Future (1985),Titanic (1997),Lawrence of Arabia (1962)
Star Wars (1977),Schindler's List (1993),Monty Python and the Holy Grail (1974),Casablanca (1942),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),To Kill a Mockingbird (1962),Twelve Monkeys (1995),Raising Arizona (1987)
"Game, The (1997)","Godfather, The (1972)",Star Wars (1977),"Full Monty, The (1997)",Fargo (1996),Return of the Jedi (1983),Contact (1997),Good Will Hunting (1997),Sense and Sensibility (1995),Toy Story (1995)
Titanic (1997),Good Will Hunting (1997),Star Wars (1977),"Godfather, The (1972)",Return of the Jedi (1983),"English Patient, The (1996)",L.A. Confidential (1997),Amistad (1997),Ulee's Gold (1997),Schindler's List (1993)
Star Wars (1977),Titanic (1997),Schindler's List (1993),"Usual Suspects, The (1995)",Raiders of the Lost Ark (1981),Toy Story (1995),Contact (1997),One Flew Over the Cuckoo's Nest (1975),Good Will Hunting (1997),"Godfather, The (1972)"
Contact (1997),Star Wars (1977),Return of the Jedi (1983),Pulp Fiction (1994),Schindler's List (1993),Raiders of the Lost Ark (1981),Monty Python and the Holy Grail (1974),"Godfather, The (1972)",Apollo 13 (1995),"Silence of the Lambs, The (1991)"
"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),"Godfather, The (1972)","Empire Strikes Back, The (1980)",Amadeus (1984),"Princess Bride, The (1987)","Shawshank Redemption, The (1994)",Titanic (1997),Blade Runner (1982),E.T. the Extra-Terrestrial (1982)
Star Trek: First Contact (1996),Braveheart (1995),Return of the Jedi (1983),"Empire Strikes Back, The (1980)",Jurassic Park (1993),"Sound of Music, The (1965)",Apollo 13 (1995),"Silence of the Lambs, The (1991)","Princess Bride, The (1987)",Mary Poppins (1964)
Star Wars (1977),Forrest Gump (1994),"Godfather, The (1972)",Secrets & Lies (1996),Titanic (1997),Return of the Jedi (1983),Twelve Monkeys (1995),"Shawshank Redemption, The (1994)","Postino, Il (1994)",Dead Man Walking (1995)
"Godfather, The (1972)",Psycho (1960),Schindler's List (1993),Rear Window (1954),Pulp Fiction (1994),"Clockwork Orange, A (1971)","Godfather: Part II, The (1974)",When Harry Met Sally... (1989),Vertigo (1958),North by Northwest (1959)
Titanic (1997),L.A. Confidential (1997),Good Will Hunting (1997),Chasing Amy (1997),Contact (1997),"Sweet Hereafter, The (1997)",Everyone Says I Love You (1996),Ulee's Gold (1997),Toy Story (1995),"Rainmaker, The (1997)"
"Fugitive, The (1993)","Silence of the Lambs, The (1991)","Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Schindler's List (1993),Apollo 13 (1995),"Hunt for Red October, The (1990)",Toy Story (1995),Men in Black (1997)
L.A. Confidential (1997),Apt Pupil (1998),Fly Away Home (1996),Good Will Hunting (1997),"Game, The (1997)",Rosewood (1997),Scream (1996),Star Wars (1977),I Know What You Did Last Summer (1997),Kolya (1996)
Titanic (1997),Dead Man Walking (1995),Contact (1997),Lone Star (1996),"Godfather, The (1972)",Welcome to the Dollhouse (1995),Secrets & Lies (1996),L.A. Confidential (1997),Leaving Las Vegas (1995),"Wrong Trousers, The (1993)"
Star Wars (1977),One Flew Over the Cuckoo's Nest (1975),Apocalypse Now (1979),Casablanca (1942),"Postino, Il (1994)","Silence of the Lambs, The (1991)",Rear Window (1954),Schindler's List (1993),Amadeus (1984),Psycho (1960)
Return of the Jedi (1983),"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),"Shawshank Redemption, The (1994)",Titanic (1997),Blade Runner (1982),Schindler's List (1993),Amadeus (1984),"Hunt for Red October, The (1990)",Jurassic Park (1993)
"Empire Strikes Back, The (1980)","Silence of the Lambs, The (1991)",Blade Runner (1982),"Princess Bride, The (1987)","Godfather, The (1972)",Die Hard (1988),Braveheart (1995),Return of the Jedi (1983),Aliens (1986),Seven (Se7en) (1995)
Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)",Titanic (1997),Fargo (1996),"Boot, Das (1981)",Jerry Maguire (1996),Contact (1997),Good Will Hunting (1997),"Full Monty, The (1997)"
Star Wars (1977),Fargo (1996),Apocalypse Now (1979),Monty Python and the Holy Grail (1974),Psycho (1960),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Casablanca (1942),Raiders of the Lost Ark (1981),Blade Runner (1982)
"Princess Bride, The (1987)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Terminator 2: Judgment Day (1991),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Casablanca (1942),"Wizard of Oz, The (1939)",Aliens (1986)
Star Wars (1977),Dances with Wolves (1990),Braveheart (1995),Casablanca (1942),"Shawshank Redemption, The (1994)",Amadeus (1984),Forrest Gump (1994),Toy Story (1995),"Right Stuff, The (1983)","Empire Strikes Back, The (1980)"
Star Wars (1977),Schindler's List (1993),"Silence of the Lambs, The (1991)",Return of the Jedi (1983),Casablanca (1942),Raiders of the Lost Ark (1981),Fantasia (1940),Monty Python and the Holy Grail (1974),Chinatown (1974),"Bridge on the River Kwai, The (1957)"
"Godfather, The (1972)",Star Wars (1977),"Full Monty, The (1997)",Fargo (1996),Mr. Holland's Opus (1995),Titanic (1997),Good Will Hunting (1997),"Godfather: Part II, The (1974)",Amistad (1997),"Boot, Das (1981)"
Star Wars (1977),"Usual Suspects, The (1995)",L.A. Confidential (1997),Terminator 2: Judgment Day (1991),Good Will Hunting (1997),"Godfather, The (1972)",Pulp Fiction (1994),Twelve Monkeys (1995),Fargo (1996),"Terminator, The (1984)"
L.A. Confidential (1997),Titanic (1997),As Good As It Gets (1997),Amistad (1997),Dante's Peak (1997),Kiss the Girls (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Replacement Killers, The (1998)","Big Lebowski, The (1998)",Kolya (1996)
Star Wars (1977),"Godfather, The (1972)",Jerry Maguire (1996),Mr. Holland's Opus (1995),Contact (1997),"Princess Bride, The (1987)",Independence Day (ID4) (1996),"Time to Kill, A (1996)","Empire Strikes Back, The (1980)","Shawshank Redemption, The (1994)"
Star Wars (1977),"Fugitive, The (1993)",Return of the Jedi (1983),"Shawshank Redemption, The (1994)",Schindler's List (1993),Forrest Gump (1994),Terminator 2: Judgment Day (1991),Aliens (1986),Braveheart (1995),Titanic (1997)
Leaving Las Vegas (1995),"Godfather, The (1972)",Toy Story (1995),Schindler's List (1993),Emma (1996),Secrets & Lies (1996),Sense and Sensibility (1995),"Long Kiss Goodnight, The (1996)",Raiders of the Lost Ark (1981),Fargo (1996)
"Full Monty, The (1997)",Trainspotting (1996),Fargo (1996),Secrets & Lies (1996),Apt Pupil (1998),Face/Off (1997),Twelve Monkeys (1995),Donnie Brasco (1997),"Postino, Il (1994)",Toy Story (1995)
Good Will Hunting (1997),Amistad (1997),Apt Pupil (1998),Contact (1997),Air Force One (1997),Star Wars (1977),As Good As It Gets (1997),Fly Away Home (1996),Return of the Jedi (1983),"MatchMaker, The (1997)"
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Star Wars (1977),Forrest Gump (1994),Babe (1995),Secrets & Lies (1996),"Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)","Fugitive, The (1993)",Die Hard (1988)
Star Wars (1977),Good Will Hunting (1997),"Full Monty, The (1997)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Fargo (1996),L.A. Confidential (1997),Raiders of the Lost Ark (1981),Air Force One (1997),Pulp Fiction (1994),Star Trek: First Contact (1996)
"English Patient, The (1996)",Fargo (1996),Dead Man Walking (1995),"Close Shave, A (1995)",Sense and Sensibility (1995),"Boot, Das (1981)",Return of the Jedi (1983),Swingers (1996),Cold Comfort Farm (1995),Star Wars (1977)
"Empire Strikes Back, The (1980)",Toy Story (1995),"Terminator, The (1984)","Godfather, The (1972)",Terminator 2: Judgment Day (1991),In the Line of Fire (1993),Back to the Future (1985),Much Ado About Nothing (1993),Contact (1997),Aliens (1986)
L.A. Confidential (1997),Raiders of the Lost Ark (1981),Schindler's List (1993),While You Were Sleeping (1995),Back to the Future (1985),Men in Black (1997),Air Force One (1997),As Good As It Gets (1997),Braveheart (1995),Star Wars (1977)
"Full Monty, The (1997)",Titanic (1997),Good Will Hunting (1997),Amistad (1997),Star Wars (1977),Wag the Dog (1997),Air Force One (1997),Gattaca (1997),"Big Lebowski, The (1998)",Chasing Amy (1997)
L.A. Confidential (1997),As Good As It Gets (1997),Air Force One (1997),Kolya (1996),Amistad (1997),Rosewood (1997),Fargo (1996),"Fugitive, The (1993)",Boogie Nights (1997),Ulee's Gold (1997)
Return of the Jedi (1983),"English Patient, The (1996)",Fargo (1996),Titanic (1997),L.A. Confidential (1997),"Ice Storm, The (1997)",Eye for an Eye (1996),"First Wives Club, The (1996)",Twister (1996),Sabrina (1995)
Star Wars (1977),Indiana Jones and the Last Crusade (1989),Raiders of the Lost Ark (1981),Alien (1979),Terminator 2: Judgment Day (1991),"Maltese Falcon, The (1941)","Godfather, The (1972)","Hunt for Red October, The (1990)",Groundhog Day (1993),"Fugitive, The (1993)"
Star Wars (1977),"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shawshank Redemption, The (1994)",Apocalypse Now (1979),Casablanca (1942),2001: A Space Odyssey (1968),"Clockwork Orange, A (1971)","Empire Strikes Back, The (1980)",Blade Runner (1982)
